cert,name,state,city,method,pe_date,overall,assets_k,inv,svc,file_id,svc_gap,in_old_universe
26725,Banco do Brasil Americas,FL,MIAMI,Large Bank Evaluation,12/01/2025,Needs to Improve,3035260.0,High Satisfactory,Low Satisfactory,2025/26725_250512.PDF,True,True
21031,The Bank of Tampa,FL,TAMPA,Large Bank Evaluation,12/01/2025,Satisfactory,3024877.0,Low Satisfactory,High Satisfactory,2025/21031_250527.PDF,False,True
57607,First Western Trust Bank,CO,DENVER,Large Bank Evaluation,03/01/2026,Satisfactory,3021751.0,High Satisfactory,High Satisfactory,2025/57607_250929.PDF,False,False
18190,Union Savings Bank,CT,DANBURY,Large Bank Evaluation,11/01/2024,Satisfactory,3021272.0,High Satisfactory,High Satisfactory,2023/18190_230821.PDF,False,False
18266,Northern Bank & Trust Company,MA,WOBURN,Large Bank Evaluation,02/01/2024,Satisfactory,2986210.0,High Satisfactory,Low Satisfactory,2023/18266_230731.PDF,True,True
23622,Bristol County Savings Bank,MA,TAUNTON,Large Bank Evaluation,09/01/2023,Satisfactory,2974298.0,Outstanding,High Satisfactory,2022/23622_220912.PDF,False,False
20164,Sunwest Bank,UT,SANDY,Large Bank Evaluation,03/01/2025,Satisfactory,2974047.0,Low Satisfactory,High Satisfactory,2024/20164_240401.PDF,False,True
1617,The Bank of Missouri,MO,PERRYVILLE,Large Bank Evaluation,04/01/2025,Satisfactory,2963315.0,Low Satisfactory,High Satisfactory,2024/1617_240715.PDF,False,True
30401,Penn Community Bank,PA,DOYLESTOWN,Large Bank Evaluation,10/01/2025,Satisfactory,2934068.0,Outstanding,Low Satisfactory,2025/30401_250407.PDF,True,True
32974,Gulf Coast Bank and Trust Company,LA,NEW ORLEANS,Large Bank Evaluation,08/01/2023,Satisfactory,2927905.0,Low Satisfactory,Low Satisfactory,2023/32974_230313.PDF,True,True
27235,STAR Financial Bank,IN,FORT WAYNE,Large Bank Evaluation,08/01/2023,Satisfactory,2925303.0,High Satisfactory,High Satisfactory,2023/27235_230417.PDF,False,False
