Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
920558,Dollar Tree 4237,72 Main St,,North Reading,MA,01864,2289,MIDDLESEX,Other,42.571587,-71.109787,,,68359
920561,Dollar Tree 4244,480 Boston Rd,,Billerica,MA,01821,2709,MIDDLESEX,Other,42.556362,-71.263474,,,68360
921233,Circle K 4707500,448 Salem St,,Wakefield,MA,01880,1244,MIDDLESEX,Convenience Store,42.511982,-71.0429,,,68412
744075,Whole Foods Market 10222,331 Paradise Rd,,Swampscott,MA,01907,2928,ESSEX,Super Store,42.479195,-70.904846,,,68449
921510,Easy Convenience Store,935 Massachusetts Ave,,Arlington,MA,02476,4508,MIDDLESEX,Convenience Store,42.418476,-71.16597,,,68548
921521,Family Dollar 7604,13 Hilldale Ave,,Haverhill,MA,01832,3825,ESSEX,Other,42.778908,-71.089859,,,68549
921523,Family Dollar 8072,246 Broadway,,Methuen,MA,01844,3044,ESSEX,Other,42.725807,-71.185516,,,68550
921527,Family Dollar 2209,631 North St,,Pittsfield,MA,01201,4102,BERKSHIRE,Other,42.457108,-73.250694,,,68551
921531,Family Dollar 3730,800 N Main St,,West Bridgewater,MA,02379,1235,PLYMOUTH,Other,42.042,-71.00988,,,68552
921534,Family Dollar 3837,366 Market St,,Rockland,MA,02370,1935,PLYMOUTH,Other,42.124233,-70.907745,,,68553
921537,Family Dollar 6646,611 Washington St,Ste 1,Whitman,MA,02382,1399,PLYMOUTH,Other,42.08157,-70.937599,,,68554
921541,Family Dollar 7261,440 N Franklin St,,Holbrook,MA,02343,1152,NORFOLK,Other,42.16729,-71.006813,,,68555
921548,Family Dollar 2026,210 Avenue A,,Turners Falls,MA,01376,1817,FRANKLIN,Other,42.605183,-72.560043,,,68556
921640,Family Dollar 7881,142 Mechanic St,,Leominster,MA,01453,5752,WORCESTER,Other,42.524883,-71.75386,,,68564
921643,Family Dollar 1972,209 Exchange St,,Chicopee,MA,01013,1246,HAMPDEN,Other,42.148525,-72.609558,,,68565
921653,Family Dollar 2666,292 Belmont Ave,,Springfield,MA,01108,2061,HAMPDEN,Other,42.087605,-72.567116,,,68566
921655,Family Dollar 4907,575 Main St,,Springfield,MA,01105,2437,HAMPDEN,Other,42.093983,-72.580696,,,68567
921659,Family Dollar 5705,1201 Parker St,,Springfield,MA,01129,1031,HAMPDEN,Other,42.116257,-72.497551,,,68569
921660,Family Dollar 2485,51 Franklin St,,Westfield,MA,01085,2224,HAMPDEN,Other,42.125027,-72.751083,,,68570
