geoid,county,state,pop_poverty_universe,pop_under_130_fpl,pop_under_200_fpl,snap_hh,poor_hh,eligible_unenrolled,method
48427,"Starr County, TX",TX,65584,28930,40348,8146.0,7271.0,5158,FNS state total allocated by share of under-130% FPL population
28033,"DeSoto County, MS",MS,190026,25947,46746,5309.0,7381.0,5062,FNS state total allocated by share of under-130% FPL population
48441,"Taylor County, TX",TX,139904,28384,47193,6088.0,8272.0,5061,FNS state total allocated by share of under-130% FPL population
47149,"Rutherford County, TN",TN,355293,47522,89433,9079.0,10997.0,5054,FNS state total allocated by share of under-130% FPL population
45077,"Pickens County, SC",SC,126041,28271,46089,4369.0,8807.0,5052,FNS state total allocated by share of under-130% FPL population
04017,"Navajo County, AZ",AZ,105673,32820,50433,8879.0,9575.0,5021,FNS state total allocated by share of under-130% FPL population
36085,"Richmond County, NY",NY,490009,77233,123422,22803.0,20705.0,4984,FNS state total allocated by share of under-130% FPL population
12053,"Hernando County, FL",FL,204178,34146,61931,10208.0,10266.0,4950,FNS state total allocated by share of under-130% FPL population
34007,"Camden County, NJ",NJ,521654,84708,133033,26941.0,25761.0,4937,FNS state total allocated by share of under-130% FPL population
20091,"Johnson County, KS",KS,614986,45630,87118,5014.0,14634.0,4923,FNS state total allocated by share of under-130% FPL population
34003,"Bergen County, NJ",NJ,951352,84105,144012,18954.0,27135.0,4902,FNS state total allocated by share of under-130% FPL population
48251,"Johnson County, TX",TX,192263,27488,53205,5079.0,7002.0,4901,FNS state total allocated by share of under-130% FPL population
12017,"Citrus County, FL",FL,159617,32786,55680,8574.0,11149.0,4753,FNS state total allocated by share of under-130% FPL population
48183,"Gregg County, TX",TX,121689,26600,45979,6530.0,7221.0,4743,FNS state total allocated by share of under-130% FPL population
06023,"Humboldt County, CA",CA,131689,34268,53155,11540.0,10261.0,4736,FNS state total allocated by share of under-130% FPL population
36087,"Rockland County, NY",NY,336779,73326,104346,12398.0,12427.0,4731,FNS state total allocated by share of under-130% FPL population
13063,"Clayton County, GA",GA,294686,74762,126254,20461.0,17712.0,4703,FNS state total allocated by share of under-130% FPL population
24003,"Anne Arundel County, MD",MD,584318,44081,79883,14710.0,13442.0,4682,FNS state total allocated by share of under-130% FPL population
05125,"Saline County, AR",AR,125888,16526,31064,1974.0,4552.0,4649,FNS state total allocated by share of under-130% FPL population
48329,"Midland County, TX",TX,173205,25951,43087,4750.0,7953.0,4627,FNS state total allocated by share of under-130% FPL population
